id,Tx sour.shard,Tx dest.shard,Fee,Value,Ratio
0,53,18,722592420711000,110531214580719898,0.00653745119378289
1,40,39,722592420711000,10000000000000000,0.0722592420711
2,8,40,718392420711000,4322100000000009014,0.00016621374348372285
3,51,36,716292420711000,388995310000000000,0.001841390891604837
4,51,17,716292420711000,197540280000000000,0.0036260575347518997
5,32,15,714192420711000,20000000000000000,0.03570962103555
6,33,50,714192420711000,38243597918364000,0.018674822966069714
7,16,56,714192420711000,1951500000000009019,0.00036597100728208903
8,42,40,714192420711000,2000000000009031,0.35709621035388756
9,50,47,714192420711000,2024383543165000,0.3527950141278089
10,28,32,714192420711000,23516823347502000,0.03036942575778896
11,17,30,815194848216000,17245365151784000,0.04727037328819156
12,18,29,754268196234000,114329076720538148,0.00659734354435229
13,24,36,747363223845000,125000000000000000,0.00597890579076
14,24,46,747363223845000,32000000000000000,0.02335510074515625
15,24,62,747363223845000,155000000000000000,0.004821698218354839
16,55,44,743768196234000,1499256231803766000,0.0004960914488507192
17,26,33,743768196234000,154992470000000000,0.004798737617601681
18,0,20,743768196234000,209987100000000000,0.003541970893612036
19,61,24,743768196234000,4497200000000000000,0.0001653847274379614
20,19,36,743768196234000,35245117579289000,0.021102729890481585
21,57,36,743768196234000,12972951803766000,0.057332225347363645
22,61,62,713392168209000,73246107831791000,0.009739659748846975
23,30,10,712644855174000,372981645144826000,0.0019106700408736878
24,51,27,705968196234000,27054610000000000,0.026094192310811355
25,4,44,703868196234000,35000000000000000000,2.01105198924e-05
26,27,45,703868196234000,3920000000000000,0.179558213325
27,27,14,703868196234000,61000000000000000,0.011538822889081967
28,53,56,703868196234000,1951500000000009019,0.00036068060273328044
29,37,21,703868196234000,50000000000000000,0.01407736392468
30,54,21,703658196234000,4000000000000000,0.1759145490585
31,37,30,702320630697000,55910902031459978,0.01256142550341645
32,52,49,701768196234000,74817400234502364,0.009379745808253527
33,5,44,994152891312000,151649177108688000,0.006555610193647697
34,35,12,922644855174000,26171800000000000,0.035253396983547174
35,18,1,749168101731000,37602219460987148,0.019923507507536166
36,24,41,738668101731000,221010920000000000,0.0033422244553843765
37,0,12,738668101731000,91299990000000000,0.008090560598429419
38,40,23,722918101731000,359335637516084000,0.0020118185513916414
39,17,48,705313194411000,13191348389249728,0.053467861934856795
40,54,40,705068101731000,4008750000000000000,0.00017588228293882133
41,49,35,700772388708000,145448010302263400,0.0048180266423149196
42,1,12,698768101731000,970000000000000000,0.0007203794863206186
43,38,28,698768101731000,39114000000000000,0.017864910306565424
44,50,52,698768101731000,2790000000000000,0.25045451674946234
45,54,52,698768101731000,20000000000000000,0.03493840508655
46,14,6,698558101731000,22200000000000000,0.031466581159054055
47,35,24,922644855174000,33864100000000000,0.02724551531486146
48,24,58,738668101731000,20000000000000000,0.03693340508655
49,23,12,696668101731000,98908858719112858,0.00704353594564708
50,3,36,1404641261394000,20000000000000000,0.0702320630697
51,24,44,994962544506000,197507307685518688,0.00503759863959176
52,0,59,939887373495000,78400000000000000,0.011988359355803571
53,0,28,855063339312000,1189511426660688000,0.0007188357506681687
54,63,30,842674269927000,25302815730073000,0.033303576918732467
55,0,42,839670311655000,642882030000000000,0.0013061032545193401
56,3,51,836554156536000,65665130800467450,0.012739701365675872
57,4,31,826338992535000,34035394052429000,0.02427881373320039
58,0,61,797463992535000,16860420000000000,0.047297990947734396
59,26,34,797463992535000,1000000000000000000,0.000797463992535
60,54,40,797463992535000,105891200000000000,0.007530975119131713
61,32,38,797463992535000,10100000000000000,0.0789568309440594
62,39,5,797463992535000,416979880000000000,0.0019124759509619505
63,26,1,797463992535000,32378760000000000,0.024629232019231125
64,37,5,796950000000000,24226850000000000,0.03289532068758423
65,39,47,776463992535000,55606289052429000,0.013963600264763261
66,19,25,763884873213000,1088092468967020,0.7020404009763929
67,27,44,757773992535000,913010000000000,0.8299733765621407
68,8,18,757563992535000,1890000000000000000,0.0004008275092777778
69,29,49,757563992535000,234993694335868654,0.0032237630659665236
70,32,40,757563992535000,901000000000009031,0.0008408035433240759
71,30,56,757563992535000,1951500000000009019,0.00038819574303612425
72,1,52,757563992535000,100000000000000000,0.00757563992535
73,9,0,757563992535000,15000000000000000,0.050504266169
74,35,43,757563992535000,170000000000000000,0.004456258779617647
75,0,35,757563992535000,40000000000000000,0.018939099813375
76,18,49,1254996965145000,79818685922112031,0.015723097300419604
77,35,3,966016426998000,83884010000000000,0.011516097370619264
78,44,4,909510000000000,3500000000000,259.86
79,42,8,882016426998000,2045182716066569254,0.00043126534371185787
80,0,48,876704434431000,7576153560000000000,0.00011571893672532688
81,36,17,876704434431000,156319830000000000,0.005608401918240315
82,26,16,876704434431000,39749950000000000,0.02205548521271096
