id,Tx sour.shard,Tx dest.shard,Fee,Value,Ratio
0,11,34,517790676081000,34268502571644431,0.01510981330446132
1,17,27,515007726765000,18042345528805286,0.028544388862455312
2,35,13,502578090105000,67249618926333730,0.007473322498013435
3,32,58,484375915884000,155108720000000000,0.0031228155056917495
4,43,58,484375915884000,103971000000000000,0.004658759806907695
5,0,42,463375915884000,49080000000000000,0.0094412370799511
6,0,45,463375915884000,46034620000000000,0.01006581385670176
7,0,40,463375915884000,120378400000000000,0.0038493277521881
8,63,15,463375915884000,8830540000000000,0.05247424459704616
9,0,6,463375915884000,809976600000000000,0.0005720855588717007
10,13,47,462000000000000,999538000000000000,0.0004622135426567074
11,14,46,452875915884000,10000000000000000,0.0452875915884
12,32,53,448297915884000,251000000000000000,0.0017860474736414343
13,14,5,448297915884000,4692593012995872,0.09553309111667349
14,53,56,445604052810000,22727960000000000,0.019605985438640335
15,36,61,442890000000000,17544650000000000,0.025243592776145435
16,41,5,442375915884000,1263180000000000,0.35020813809908324
17,40,0,442375915884000,9980000000000003,0.04432624407655309
18,52,53,440163598098000,58526801499619205,0.007520718488278637
19,44,57,439792578834000,91080447421166000,0.004828616802905576
20,29,18,423475915884000,930000000000000000,0.0004553504471870968
21,39,18,423475915884000,30000000000000000,0.0141158638628
22,26,60,423475915884000,20000000000000000,0.0211737957942
23,4,6,423475915884000,690000000000000000,0.0006137332114260869
24,42,45,423475915884000,36640000000000000,0.011557748795960698
25,54,52,423475915884000,59000000000000000,0.007177557896338983
26,20,54,423475915884000,156056757842827436,0.0027136019082909806
27,6,43,423475915884000,13711462912620000,0.030884809198166135
28,11,42,423475915884000,10344430493574015,0.04093757661642797
29,5,56,423475915884000,451500000000009021,0.0009379311536743998
30,10,1,423475915884000,200245622140006790,0.0021147823925354837
31,52,53,423475915884000,60798109246956461,0.006965281011682104
32,16,63,423475915884000,450000000000000000,0.0009410575908533333
33,36,19,423475915884000,35000000000000000,0.0120993118824
34,9,42,423265915884000,170500000000000000,0.0024824980403753668
35,6,30,423265915884000,24970000000000000,0.016950977808730477
36,15,40,423265915884000,23400000000000000,0.018088287003589745
37,18,62,422425915884000,64221453455959183,0.006577644901383069
38,8,33,421585915884000,21374921019149400,0.019723390580311802
39,12,15,421585915884000,17500000000000000,0.0240906237648
40,22,20,421585915884000,8602368576007735,0.04900812051460057
41,37,25,421375915884000,83855601164275442,0.005025018126797671
42,44,62,661424135874176,5601070000000000,0.11808888942187404
43,26,31,648984000000000,312577796000000000,0.002076231927875005
44,34,35,507150000000000,1189849800004800,0.42623026872631664
45,35,15,502620088320000,23994759823360000,0.020947077279376485
46,16,32,444780000000000,17693220000000000,0.02513844286116377
47,17,13,444460551192000,14476000000000000,0.030703271013539653
48,32,37,444460551192000,27850100000000000,0.01595902891522831
49,61,59,444460551192000,23200000000000000,0.019157782378965517
50,57,44,444460551192000,59749749448808000,0.007438701505732706
51,36,3,442890000000000,1716430000000000,0.2580297477904721
52,54,57,442665211674000,155614092631153436,0.0028446344684426085
53,36,43,441000000000000,6718690000000000,0.06563779546310367
54,53,35,440425037535000,32783640000000000,0.013434293371175379
55,45,28,429382551192000,41000000000000000,0.01047274515102439
56,38,47,429382551192000,2551927445121600,0.1682581344594379
57,23,53,429382551192000,180800000000000000,0.0023749034911061946
58,32,0,424825551192000,61933825448933000,0.006859346215296942
59,56,49,423460551192000,249750000000000075,0.00169553774251051
60,32,15,421585915884000,56782387464985442,0.0074245894670062745
61,15,8,420000000000000,332000000000000,1.2650602409638554
62,25,13,420000000000000,221227000000000000,0.0018985024431918346
63,61,50,418850075091000,899581149924909000,0.000465605660062978
64,48,40,412960551192000,16372000000009031,0.025223586073281956
65,42,0,411853248303000,100224553752545298,0.004109304884707861
66,49,0,411853248303000,100224886026959034,0.004109291261176565
67,49,0,411853248303000,109305611159272770,0.0037679058186946618
68,59,36,404560551192000,57522623581000000,0.00703306848691144
69,59,30,404560551192000,1890204453867319,0.21403004863536193
70,39,27,404560551192000,147430084774913000,0.002744084097961808
